Rank,Company,2020 worldwide retail sales (billions)
1,Walmart,543.17
2,Amazon.com,263.16
3,The Kroger Co.,131.57
4,The Home Depot,129.89
5,Costco Wholesale,162.48
6,Walgreens Boots Alliance,117.74
7,Target,92.40
8,CVS Health Corporation,89.94
9,Lowe's Companies,87.54
10,Albertsons Companies,69.73
11,Apple Stores / iTunes,63.04
12,Royal Ahold Delhaize USA,85.24
13,Publix Super Markets,44.84
14,Best Buy,46.22
15,Aldi,120.09
16,Dollar General,33.74
17,H.E. Butt Grocery,30.71
18,TJX Companies,32.40
19,Dollar Tree,25.42
20,Ace Hardware,23.69
21,Meijer,19.59
22,Wakefern / ShopRite,18.27
23,7-Eleven,87.94
24,Macy's,17.23
25,AT&T Wireless,17.02
26,Rite Aid,16.37
27,Verizon Wireless,15.49
28,BJ's Wholesale Club,15.43
29,Kohl's,15.33
30,PetSmart,13.56
31,Menards,12.80
32,Ross Stores,12.53
33,Dell Technologies,12.31
34,Hy Vee,11.97
35,Wayfair,13.89
36,O'Reilly Auto Parts,11.60
37,Gap,14.26
38,Qurate Retail,14.20
39,Health Made Systems,10.94
40,Wegmans Food Market,10.84
41,L Brands,11.39
42,AutoZone,12.24
43,True Value Co.,11.30
44,Tractor Supply Co.,10.57
45,Giant Eagle,9.97
46,Alimentation Couche-Tard,13.23
47,Dick's Sporting Goods,9.57
48,Sherwin-Williams,10.02
49,Nordstrom,9.49
50,Bed Bath & Beyond,9.07
51,WinCo Foods,8.74
52,Good Neighbor Pharmacy,8.45
53,Southeastern Grocers (BI-LO),8.23
54,Army & Air Force Exchange,7.90
55,J.C. Penney Company,7.53
56,Save-A-Lot,7.25
57,Bass Pro,7.32
58,Staples,8.67
59,Williams-Sonoma,6.72
60,Sprouts Farmers Market,6.45
61,Speedway,6.38
62,AVB Brandsource,6.45
63,Big Lots,6.20
64,"Ulta Salon, Cosmetics & Fragrance",6.15
65,Foot Locker,7.77
66,Ikea North American Services,46.79
67,Office Depot,7.88
68,Academy Sports,5.69
69,Burlington,5.68
70,Camping World,5.45
71,Discount Tire,5.15
72,Sephora (LVMH),12.87
73,Piggly Wiggly,4.85
74,Hobby Lobby Stores,4.79
75,Petco,4.88
76,Michaels Stores,5.28
77,Stater Bros Holdings,4.68
78,Signet Jewelers,5.23
79,Exxon Mobile Corporation,9.03
80,Defense Commissary Agency,4.60
81,My Demoulas,4.55
82,Advance Auto,4.37
83,Dillard's,4.16
84,Smart & Final,4.22
85,Weis Markets,4.11
86,Ingles,4.02
87,Golub,3.91
88,Shell Oil Company,4.48
89,Save Mart,3.86
90,Total Wine & More,3.82
91,Caseys General Store,3.72
92,Guitar Center,3.43
93,GameStop,5.06
94,American Eagle,4.58
95,UNFI,3.17
96,Grocery Outlet,3.13
97,Belk,3.13
98,Lululemon,3.79
99,Sears Holdings,3.26
100,AMPM,4.35
