,product1,product2,product3,product4,product5,product6,product7,product8,product9,product10,product11,product12,product13,product14,product15,product16,product17,product18,product19
0, pork, sandwich bags, lunch meat, all- purpose, flour, soda, butter, vegetables, beef, aluminum foil, all- purpose, dinner rolls, shampoo, all- purpose, mixes, soap, laundry detergent, ice cream, dinner rolls
1, shampoo, hand soap, waffles, vegetables, cheeses, mixes, milk, sandwich bags, laundry detergent, dishwashing liquid/detergent, waffles, individual meals, hand soap, vegetables, individual meals, yogurt, cereals, shampoo, vegetables
2, pork, soap, ice cream, toilet paper, dinner rolls, hand soap, spaghetti sauce, milk, ketchup, sandwich loaves, poultry, toilet paper, ice cream, ketchup, vegetables, laundry detergent, spaghetti sauce, bagels, soap
4, pasta, tortillas, mixes, hand soap, toilet paper, vegetables, vegetables, paper towels, vegetables, flour, vegetables, pork, poultry, eggs, vegetables, pork, spaghetti sauce, vegetables, milk
5, toilet paper, eggs, toilet paper, vegetables, bagels, dishwashing liquid/detergent, cereals, paper towels, laundry detergent, butter, cereals, bagels, paper towels, shampoo, toilet paper, soap, soap, pasta, coffee/tea
6, paper towels, tortillas, vegetables, milk, ice cream, juice, dishwashing liquid/detergent, soap, sandwich bags, pasta, ketchup, all- purpose, yogurt, mixes, mixes, toilet paper, vegetables, beef, sandwich bags
9, coffee/tea, toilet paper, pork, flour, milk, soda, dishwashing liquid/detergent, eggs, tortillas, tortillas, vegetables, fruits, sugar, soap, dishwashing liquid/detergent, juice, sandwich loaves, poultry, eggs
10, ice cream, soda, bagels, dishwashing liquid/detergent, eggs, sugar, waffles, individual meals, toilet paper, pasta, sandwich loaves, cheeses, vegetables, hand soap, vegetables, vegetables, ketchup, poultry, dinner rolls
11, tortillas, pork, shampoo, lunch meat, pasta, juice, bagels, vegetables, bagels, vegetables, laundry detergent, yogurt, sugar, waffles, hand soap, hand soap, butter, juice, spaghetti sauce
12, fruits, all- purpose, aluminum foil, laundry detergent, individual meals, flour, pork, shampoo, sugar, aluminum foil, shampoo, soap, bagels, toilet paper, juice, ice cream, ice cream, sandwich loaves, soap
14, ice cream, cereals, paper towels, bagels, mixes, lunch meat, juice, toilet paper, cheeses, paper towels, paper towels, juice, aluminum foil, fruits, butter, sandwich loaves, tortillas, spaghetti sauce, hand soap
19, dishwashing liquid/detergent, yogurt, juice, sugar, soap, sandwich loaves, butter, sandwich loaves, coffee/tea, ketchup, aluminum foil, dishwashing liquid/detergent, mixes, laundry detergent, shampoo, cheeses, tortillas, toilet paper, hand soap
