product,count
mineral water,1165
spaghetti,891
frozen vegetables,627
ground beef,597
chocolate,582
burgers,580
eggs,511
milk,485
shrimp,477
tomatoes,412
turkey,408
french fries,347
grated cheese,342
herb & pepper,323
cake,210
soup,203
red wine,183
olive oil,182
pancakes,180
whole wheat pasta,173
ham,171
fresh tuna,157
green tea,157
chicken,157
pepper,154
whole wheat rice,151
escalope,148
avocado,136
butter,124
honey,120
parmesan cheese,111
salmon,107
champagne,102
energy bar,96
frozen smoothie,96
cooking oil,95
cookies,94
vegetables mix,93
low fat yogurt,90
meatballs,77
tomato sauce,73
muffins,70
french wine,68
almonds,67
pasta,61
yams,59
oil,51
black tea,48
cottage cheese,47
cereals,47
brownies,44
hot dogs,43
fromage blanc,42
energy drink,41
yogurt cake,40
gums,39
flax seed,38
fresh bread,37
pickles,37
mushroom cream sauce,37
cider,37
rice,37
tomato juice,33
dessert wine,32
eggplant,32
strawberries,31
light mayo,27
light cream,27
barbecue sauce,26
nonfat milk,26
antioxydant juice,25
carrots,25
green grapes,25
bacon,24
spinach,22
shallot,22
extra dark chocolate,21
blueberries,20
bug spray,20
clothes accessories,20
strong cheese,19
soda,19
white wine,18
melons,18
mint,17
body spray,17
whole weat flour,15
protein bar,15
salt,14
green beans,12
magazines,11
chocolate bread,10
toothpaste,10
salad,9
burger sauce,9
candy bars,9
pet food,8
oatmeal,8
sparkling water,8
corn,8
chili,8
tea,7
gluten free bar,7
chutney,7
mint green tea,7
mashed potato,7
ketchup,6
shampoo,5
asparagus,5
babies food,4
hand protein bar,3
mayonnaise,3
sandwich,3
cream,2
zucchini,2
cauliflower,1
water spray,1
