,item_1,item_2,item_3
0,shrimp,almonds,avocado
1,burgers,meatballs,eggs
4,mineral water,milk,energy bar
7,soup,light cream,shallot
8,frozen vegetables,spaghetti,green tea
12,turkey,burgers,mineral water
13,spaghetti,champagne,cookies
16,shrimp,chocolate,chicken
18,turkey,fresh tuna,tomatoes
19,meatballs,milk,honey
20,red wine,shrimp,pasta
22,spaghetti,mineral water,ham
23,burgers,grated cheese,shrimp
25,parmesan cheese,spaghetti,soup
26,ground beef,spaghetti,mineral water
28,mineral water,eggs,chicken
29,frozen vegetables,spaghetti,yams
30,herb & pepper,tomato sauce,light cream
31,mineral water,chocolate,avocado
32,turkey,french fries,strawberries
33,frozen vegetables,strong cheese,chocolate
35,pickles,spaghetti,salmon
37,red wine,ground beef,mineral water
38,mineral water,cake,cottage cheese
39,pickles,champagne,green tea
41,fresh tuna,frozen vegetables,spaghetti
43,soup,meatballs,hot dogs
45,soup,avocado,french fries
46,mineral water,chicken,cereals
49,burgers,black tea,green tea
50,spaghetti,chocolate,brownies
51,fresh tuna,mineral water,eggs
54,french fries,escalope,champagne
56,turkey,fresh tuna,frozen vegetables
58,soup,chicken,gums
59,turkey,frozen vegetables,mineral water
63,soup,bug spray,shallot
67,herb & pepper,whole wheat pasta,ground beef
70,grated cheese,herb & pepper,tomatoes
71,burgers,escalope,shallot
76,mineral water,chocolate,low fat yogurt
78,grated cheese,ground beef,spaghetti
80,eggs,cake,french fries
81,burgers,spaghetti,milk
82,mineral water,energy bar,butter
83,burgers,grated cheese,herb & pepper
89,burgers,french fries,low fat yogurt
91,burgers,herb & pepper,shrimp
94,burgers,almonds,eggs
95,ham,soup,escalope
96,turkey,ham,frozen vegetables
97,muffins,eggs,cookies
99,frozen vegetables,whole wheat pasta,ground beef
100,mineral water,barbecue sauce,chocolate
101,burgers,herb & pepper,energy bar
102,turkey,burgers,ground beef
103,ham,spaghetti,chocolate
104,ground beef,energy bar,pet food
105,ground beef,tomato sauce,spaghetti
106,mineral water,olive oil,gums
107,shrimp,pasta,mineral water
108,shrimp,pasta,soup
109,spaghetti,mineral water,chocolate
110,shrimp,pasta,mineral water
111,burgers,oil,tomato juice
112,french wine,eggs,chocolate
113,chicken,eggs,french fries
114,turkey,herb & pepper,salmon
115,grated cheese,spaghetti,olive oil
118,burgers,tomatoes,mineral water
121,tomatoes,spaghetti,frozen smoothie
122,ground beef,spaghetti,milk
125,burgers,shrimp,pasta
126,ground beef,mineral water,antioxydant juice
127,grated cheese,whole wheat pasta,ground beef
133,turkey,burgers,chocolate
134,frozen vegetables,tomatoes,pepper
137,turkey,eggs,chocolate
138,frozen vegetables,cooking oil,mashed potato
139,frozen vegetables,ground beef,tomato sauce
140,red wine,spaghetti,mineral water
141,chocolate,tomatoes,spaghetti
142,chocolate,shrimp,pasta
143,turkey,shrimp,pasta
145,turkey,tomatoes,cake
146,yams,mineral water,soup
149,shrimp,pasta,frozen vegetables
150,burgers,mineral water,milk
151,mineral water,vegetables mix,cake
153,shrimp,pasta,chicken
155,shrimp,pasta,spaghetti
157,red wine,ground beef,spaghetti
158,burgers,grated cheese,spaghetti
159,herb & pepper,whole wheat pasta,ground beef
160,shrimp,pasta,yams
164,herb & pepper,shrimp,pasta
166,turkey,herb & pepper,ground beef
169,pepper,french fries,strawberries
170,frozen vegetables,yams,chicken
172,herb & pepper,honey,cake
173,burgers,chocolate,frozen vegetables
174,chocolate,mineral water,corn
176,ham,french wine,escalope
177,spaghetti,milk,whole wheat rice
179,frozen vegetables,french fries,hot dogs
181,burgers,shrimp,pasta
183,pancakes,whole wheat rice,candy bars
184,eggs,eggplant,cookies
187,turkey,spaghetti,milk
188,whole wheat pasta,ground beef,spaghetti
190,frozen vegetables,milk,eggs
191,fresh tuna,spaghetti,olive oil
192,red wine,honey,hot dogs
193,milk,bacon,eggs
198,burgers,ham,red wine
199,shrimp,pasta,tomatoes
202,turkey,spaghetti,mineral water
206,soup,energy bar,chicken
207,spaghetti,chocolate,yogurt cake
208,turkey,mineral water,meatballs
209,ground beef,mineral water,chocolate
210,frozen vegetables,mineral water,vegetables mix
211,herb & pepper,red wine,tomatoes
212,whole wheat pasta,olive oil,cereals
214,olive oil,cookies,mushroom cream sauce
215,ground beef,pancakes,cooking oil
222,shrimp,mineral water,soup
224,turkey,burgers,grated cheese
225,frozen vegetables,ground beef,mineral water
226,turkey,burgers,ground beef
227,whole wheat pasta,ground beef,spaghetti
228,eggs,whole wheat rice,cake
229,ground beef,yams,soup
234,spaghetti,meatballs,vegetables mix
236,fresh tuna,shrimp,pasta
237,mineral water,green grapes,hot dogs
238,frozen vegetables,meatballs,eggs
244,pepper,chocolate,olive oil
245,red wine,french wine,vegetables mix
246,burgers,dessert wine,spaghetti
247,french wine,cake,fresh bread
248,burgers,frozen vegetables,flax seed
250,pepper,mineral water,energy bar
251,milk,eggs,cake
254,burgers,mineral water,green tea
256,pancakes,eggs,salt
258,ham,spaghetti,mineral water
259,salt,tomato juice,fresh bread
261,spaghetti,mineral water,eggs
268,spaghetti,mineral water,eggs
269,shrimp,frozen vegetables,pepper
270,burgers,fresh tuna,red wine
271,pancakes,eggs,energy drink
272,strong cheese,salmon,green tea
273,grated cheese,shrimp,pasta
274,herb & pepper,whole wheat pasta,olive oil
276,chocolate,milk,almonds
282,whole wheat pasta,antioxydant juice,body spray
283,mineral water,oil,frozen smoothie
286,frozen vegetables,spaghetti,eggs
290,shrimp,butter,chicken
291,chocolate,cookies,babies food
292,pepper,spaghetti,cake
293,avocado,oil,cereals
294,herb & pepper,spaghetti,mineral water
295,herb & pepper,frozen vegetables,ground beef
298,eggs,whole wheat rice,chocolate
299,grated cheese,herb & pepper,red wine
300,french fries,cookies,shallot
301,burgers,fresh tuna,spaghetti
302,herb & pepper,ground beef,spaghetti
303,grated cheese,muffins,tomato juice
304,whole wheat pasta,yams,mineral water
305,burgers,spaghetti,soup
306,chocolate,champagne,magazines
307,frozen vegetables,spaghetti,yams
315,mineral water,honey,brownies
316,turkey,eggs,cake
317,turkey,burgers,dessert wine
318,spaghetti,mineral water,chicken
319,turkey,ground beef,carrots
320,mineral water,eggs,low fat yogurt
321,turkey,cooking oil,shampoo
324,grated cheese,pepper,mineral water
326,spaghetti,olive oil,strong cheese
327,red wine,mineral water,soup
328,red wine,shrimp,spaghetti
330,mineral water,chicken,french fries
333,fresh tuna,tomatoes,mineral water
335,burgers,turkey,herb & pepper
337,chocolate,escalope,fresh bread
338,ham,spaghetti,french wine
340,spaghetti,yams,butter
341,energy bar,eggs,french fries
342,fresh tuna,barbecue sauce,eggplant
344,whole wheat rice,french fries,hot dogs
345,mineral water,chicken,green tea
346,eggs,cake,mushroom cream sauce
349,shrimp,spaghetti,french fries
350,grated cheese,spaghetti,salmon
353,mineral water,avocado,chocolate
354,tomatoes,champagne,green tea
355,chicken,french fries,escalope
356,frozen vegetables,tomatoes,eggs
357,ground beef,chicken,cider
360,frozen vegetables,spaghetti,milk
362,whole wheat rice,chicken,tomato juice
364,green tea,protein bar,tomato juice
368,grated cheese,herb & pepper,whole wheat pasta
370,milk,chocolate,white wine
373,shrimp,whole wheat pasta,spaghetti
374,red wine,ground beef,spaghetti
378,mineral water,milk,spinach
380,shrimp,cider,eggs
384,frozen vegetables,mineral water,energy bar
386,honey,chocolate,french fries
387,green tea,strawberries,gluten free bar
388,frozen vegetables,ground beef,mineral water
389,grated cheese,tomatoes,mineral water
390,shrimp,chocolate,water spray
393,turkey,frozen vegetables,tomatoes
395,milk,frozen smoothie,low fat yogurt
396,burgers,mineral water,milk
398,tomatoes,mineral water,soup
405,eggs,french fries,low fat yogurt
408,spaghetti,soup,vegetables mix
410,soup,olive oil,eggs
411,chocolate,frozen smoothie,low fat yogurt
412,spaghetti,mineral water,milk
414,herb & pepper,frozen vegetables,tomato sauce
418,tomatoes,mineral water,chocolate
419,salmon,escalope,shallot
421,red wine,ground beef,spaghetti
422,ground beef,spaghetti,mineral water
428,red wine,butter,hot dogs
429,tomatoes,mineral water,soup
431,parmesan cheese,ground beef,salmon
432,ground beef,yams,chocolate
433,shrimp,salmon,eggs
435,turkey,mineral water,eggs
437,grated cheese,frozen vegetables,mineral water
439,burgers,salt,white wine
441,olive oil,cake,energy drink
444,spaghetti,escalope,mushroom cream sauce
445,mineral water,fromage blanc,whole wheat rice
446,turkey,burgers,frozen vegetables
448,fresh tuna,eggs,champagne
452,tomatoes,mineral water,eggplant
453,grated cheese,tomatoes,spaghetti
455,herb & pepper,red wine,shrimp
456,burgers,ham,spaghetti
458,frozen vegetables,soup,milk
460,herb & pepper,shrimp,soup
461,ham,grated cheese,herb & pepper
462,ham,red wine,ground beef
463,chocolate,french fries,mushroom cream sauce
466,grated cheese,mineral water,cake
467,tomatoes,almonds,cake
468,herb & pepper,shrimp,frozen vegetables
469,herb & pepper,shrimp,whole wheat pasta
471,shrimp,frozen vegetables,tomato sauce
472,ham,herb & pepper,tomato sauce
473,energy bar,cake,chocolate
474,herb & pepper,shrimp,spaghetti
475,fresh tuna,mineral water,honey
476,red wine,mineral water,oil
477,herb & pepper,shrimp,mineral water
478,ground beef,mineral water,protein bar
479,shrimp,frozen vegetables,parmesan cheese
481,frozen vegetables,ground beef,spaghetti
482,turkey,ground beef,low fat yogurt
483,herb & pepper,spaghetti,mineral water
487,spaghetti,eggs,ham
488,red wine,spaghetti,milk
489,turkey,burgers,pancakes
491,frozen vegetables,pancakes,eggs
493,turkey,ground beef,pepper
494,chocolate,red wine,tomato sauce
500,chicken,chocolate,cookies
502,eggs,cake,low fat yogurt
503,shrimp,spaghetti,mineral water
504,mineral water,eggs,protein bar
505,turkey,shrimp,meatballs
506,fresh tuna,spaghetti,chocolate
507,turkey,shrimp,escalope
508,burgers,pepper,soup
510,mineral water,pancakes,eggs
511,eggs,escalope,low fat yogurt
