product,count
other vegetables,14
tropical fruit,14
yogurt,13
whole milk,13
root vegetables,12
butter,11
domestic eggs,10
whipped/sour cream,10
pip fruit,9
beef,9
frozen vegetables,8
curd,8
white bread,8
cream cheese,7
rolls/buns,7
sausage,7
sliced cheese,7
frankfurter,6
onions,6
mustard,6
fruit/vegetable juice,6
margarine,6
dessert,5
oil,5
chicken,5
hard cheese,5
pork,5
citrus fruit,5
sugar,5
rice,5
bottled beer,5
soft cheese,5
bottled water,5
ham,5
soda,5
canned fish,4
long life bakery product,4
chocolate,4
pastry,4
frozen meals,4
hamburger meat,4
frozen potato products,4
mayonnaise,4
frozen dessert,3
coffee,3
pickled vegetables,3
napkins,3
semi-finished bread,3
waffles,3
frozen fish,3
salt,3
liver loaf,3
soups,3
butter milk,3
instant coffee,2
brown bread,2
berries,2
ketchup,2
candy,2
salty snack,2
canned vegetables,2
baking powder,2
seasonal products,2
pet care,2
specialty fat,2
cereals,2
roll products,2
beverages,2
pasta,2
meat spreads,1
softener,1
female sanitary products,1
chocolate marshmallow,1
specialty cheese,1
finished products,1
syrup,1
candles,1
zwieback,1
cookware,1
turkey,1
cat food,1
jam,1
specialty bar,1
processed cheese,1
spread cheese,1
tea,1
grapes,1
Instant food products,1
decalcifier,1
hygiene articles,1
vinegar,1
sparkling wine,1
snack products,1
packaged fruit/vegetables,1
cleaner,1
canned beer,1
chewing gum,1
dog food,1
artif. sweetener,1
misc. beverages,1
ice cream,1
baby food,1
cling film/bags,1
potted plants,1
cream,1
specialty vegetables,1
specialty chocolate,1
meat,1
